time,distance
1523035580.503068,105.862000
1523035580.515834,105.904000
1523035580.570355,105.944000
1523035580.581622,105.917000
1523035580.638013,105.894000
1523035580.648351,105.912000
1523035580.658867,105.906000
1523035580.715381,105.913000
1523035580.725733,105.878000
1523035580.782391,105.938000
1523035580.792663,105.903000
1523035580.850139,105.889000
1523035580.860303,105.941000
1523035580.870526,105.901000
1523035580.926688,105.917000
1523035580.936845,105.898000
1523035580.994379,105.886000
1523035581.004629,105.915000
1523035581.060929,105.898000
1523035581.071129,105.932000
1523035581.081674,105.887000
1523035581.138820,105.939000
1523035581.148965,105.901000
1523035581.206493,105.889000
1523035581.217065,105.901000
1523035581.232295,105.895000
1523035581.283315,105.908000
1523035581.293543,105.877000
1523035581.350834,105.917000
1523035581.360956,105.914000
1523035581.417377,105.906000
1523035581.429066,105.926000
1523035581.439804,105.878000
1523035581.495103,105.939000
1523035581.505918,105.897000
1523035581.562905,105.907000
1523035581.573128,105.903000
1523035581.629395,105.929000
1523035581.639555,105.906000
1523035581.650321,105.876000
1523035581.707291,105.950000
1523035581.717514,105.877000
1523035581.775012,105.924000
1523035581.786686,105.911000
1523035581.841466,105.878000
1523035581.851747,105.932000
1523035581.862411,105.918000
1523035581.919448,105.904000
1523035581.929702,105.893000
1523035581.985890,105.912000
1523035581.996044,105.890000
1523035582.053641,105.888000
1523035582.063966,105.906000
1523035582.074217,105.895000
1523035582.131324,105.935000
1523035582.141506,105.900000
1523035582.197919,105.887000
1523035582.208184,105.923000
1523035582.218873,105.866000
1523035582.275835,105.926000
1523035582.286597,105.860000
1523035582.343392,105.932000
1523035582.353569,105.903000
1523035582.412146,105.877000
1523035582.435031,105.907000
1523035582.456538,105.863000
1523035582.487739,105.912000
1523035582.499600,105.906000
1523035582.554326,105.905000
1523035582.564573,105.902000
1523035582.622108,105.912000
1523035582.632319,105.902000
1523035582.642546,105.875000
1523035582.699848,105.923000
1523035582.710464,105.901000
1523035582.766434,105.899000
1523035582.776704,105.911000
1523035582.834155,105.888000
1523035582.844444,105.930000
1523035582.854777,105.870000
1523035582.910769,105.917000
1523035582.920927,105.915000
1523035582.978470,105.883000
1523035582.988688,105.913000
1523035582.999281,105.896000
1523035583.056320,105.933000
1523035583.067127,105.880000
1523035583.122822,105.913000
1523035583.132975,105.913000
1523035583.190584,105.891000
1523035583.200792,105.935000
1523035583.211470,105.889000
1523035583.268303,105.927000
1523035583.278442,105.878000
1523035583.334929,105.914000
1523035583.349547,105.923000
1523035583.402625,105.876000
1523035583.412865,105.967000
1523035583.423204,105.885000
1523035583.479876,105.913000
1523035583.490119,105.866000
1523035583.546958,105.920000
1523035583.557131,105.893000
1523035583.614736,105.888000
1523035583.625501,105.928000
1523035583.639920,105.883000
1523035583.691305,105.928000
1523035583.702014,105.913000
1523035583.759382,105.904000
1523035583.770249,105.915000
1523035583.784715,105.902000
1523035583.837377,105.952000
1523035583.847674,105.881000
1523035583.903395,105.905000
1523035583.913605,105.893000
1523035583.971063,105.897000
1523035583.981270,105.938000
1523035583.991876,105.875000
1523035584.047644,105.936000
1523035584.057800,105.889000
1523035584.115369,105.912000
1523035584.125597,105.889000
1523035584.183174,105.902000
1523035584.193337,105.920000
1523035584.204065,105.885000
1523035584.259813,105.915000
1523035584.269973,105.883000
1523035584.327506,105.927000
1523035584.337733,105.907000
1523035584.394070,105.884000
1523035584.404348,105.914000
1523035584.415040,105.867000
1523035584.471834,105.924000
1523035584.482022,105.894000
1523035584.539643,105.903000
1523035584.549791,105.910000
1523035584.560646,105.886000
1523035584.616311,105.922000
1523035584.626837,105.844000
1523035584.683997,105.933000
1523035584.694149,105.898000
1523035584.751647,105.888000
1523035584.761816,105.904000
1523035584.772644,105.914000
1523035584.828542,105.919000
1523035584.838763,105.886000
1523035584.895995,105.909000
1523035584.906153,105.915000
1523035584.962550,105.889000
1523035584.972787,105.921000
1523035584.983378,105.883000
1523035585.040409,105.918000
1523035585.050774,105.876000
1523035585.108098,105.909000
1523035585.118350,105.923000
1523035585.174669,105.876000
1523035585.184826,105.934000
1523035585.195105,105.893000
1523035585.252318,105.923000
1523035585.262526,105.911000
1523035585.320173,105.897000
1523035585.330390,105.897000
1523035585.341075,105.865000
1523035585.396877,105.910000
1523035585.407623,105.855000
1523035585.464504,105.903000
1523035585.474648,105.861000
1523035585.531039,105.847000
1523035585.541271,105.882000
1523035585.551775,105.822000
1523035585.608975,105.870000
1523035585.619625,105.809000
1523035585.676525,105.811000
1523035585.686731,105.797000
1523035585.743237,105.757000
1523035585.753373,105.758000
1523035585.764130,105.752000
1523035585.820989,105.763000
1523035585.831555,105.697000
1523035585.887496,105.696000
1523035585.897660,105.672000
1523035585.955268,105.613000
1523035585.965464,105.635000
1523035585.976274,105.580000
1523035586.033003,105.591000
1523035586.043221,105.534000
1523035586.099591,105.524000
1523035586.109767,105.496000
1523035586.167331,105.444000
1523035586.177606,105.485000
1523035586.188542,105.422000
1523035586.245190,105.434000
1523035586.255339,105.371000
1523035586.311609,105.365000
1523035586.323152,105.332000
1523035586.334142,105.308000
1523035586.389601,105.315000
1523035586.400827,105.259000
1523035586.456025,105.263000
1523035586.466959,105.212000
1523035586.523795,105.233000
1523035586.533979,105.194000
1523035586.546584,105.121000
1523035586.602009,105.165000
1523035586.612878,105.073000
1523035586.668076,105.074000
1523035586.679469,105.073000
1523035586.735862,105.026000
1523035586.746099,105.019000
1523035586.756796,104.977000
1523035586.813740,104.942000
1523035586.823978,104.906000
1523035586.880224,104.932000
1523035586.890406,104.868000
1523035586.947886,104.829000
1523035586.958116,104.815000
1523035586.968437,104.770000
1523035587.024559,104.786000
1523035587.034717,104.733000
1523035587.092198,104.710000
1523035587.102400,104.700000
1523035587.113058,104.614000
1523035587.170233,104.661000
1523035587.180747,104.570000
1523035587.236577,104.604000
1523035587.246735,104.557000
1523035587.304281,104.531000
1523035587.314528,104.513000
1523035587.325205,104.471000
1523035587.381114,104.479000
1523035587.391271,104.399000
1523035587.448657,104.431000
1523035587.459043,104.408000
1523035587.516412,104.379000
1523035587.527174,104.360000
1523035587.538704,104.316000
1523035587.593022,104.319000
1523035587.603278,104.286000
1523035587.660799,104.250000
1523035587.671053,104.228000
